estado,municipio,Accesibilidad al espacio público abierto,Acceso a Internet,Acceso a agua mejorada,Aglomeración económica,CALIDAD DE VIDA,Calidad del aire,Capacidad institucional y ﬁnanzas municipales,Coeﬁciente de Gini,Concentraciones de material particulado,Concentración de CO2,Crecimiento económico,Densidad de la interconexión vial,Densidad de médicos,Densidad económica,Densidad poblacional,Densidad vial,Desempleo juvenil,Deuda subnacional,EQUIDAD E INCLUSIÓN SOCIAL,Educación,Empleo,Energía,Equidad económica,Espacio habitable suﬁciente,Espacio público,Esperanza de vida al nacer,Eﬁciencia del gasto local,Eﬁciencia en el uso de suelo,Fatalidades de tránsito,Forma urbana,GOBERNANZA Y LEGISLACIÓN URBANA,Gobernanza de la urbanización,INFRAESTRUCTURA DE DESARROLLO,Inclusión de género,Inclusión social,Infraestructura de comunicaciones,Infraestructura de vivienda,Infraestructura social,Inscripción equitativa en educación a nivel secundario,Longitud de transporte masivo,Manejo de residuos,Movilidad urbana,Número de estaciones de monitoreo,PRODUCTIVIDAD,Participación electoral,Participación y rendición de cuentas,Producto urbano per cápita,Promedio de años de escolaridad,Proporción de generación de energía renovable,Recaudación de ingresos propios,Recolección de residuos sólidos,Relación de dependencia de la tercera edad,Relación empleo-población,SOSTENIBILIDAD AMBIENTAL,Salud,Seguridad y protección,Superﬁcie destinada a vías,Tasa de alfabetización,Tasa de desempleo,Tasa de homicidios,Tasa de mortalidad de menores de 5 años,Tasa de pobreza,Tratamiento de aguas residuales,Velocidad de banda ancha promedio,Vivienda durable,Viviendas en barrios precarios,Áreas verdes per cápita
Chihuahua,Aquiles Serdán,100.0,4.57,98.75,49.22,66.43,58.04,44.29,61.4,70.0,46.08,51.19,49.53,35.99,49.22,17.56,21.52,70.45,5.13,72.05,79.97,79.38,0.0,57.82,100.0,61.99,59.45,100.0,0.0,78.11,34.12,33.19,0.0,42.41,77.6,80.72,24.0,78.85,35.99,77.6,0.0,77.18,39.06,,59.93,55.27,55.27,16.59,64.36,0.0,27.75,96.3,85.79,82.07,45.07,59.9,63.85,31.31,95.59,76.7,63.85,60.35,54.23,58.07,43.44,99.1,90.99,23.99
Chihuahua,Chihuahua,87.86,40.27,95.73,66.73,63.85,47.03,50.61,53.28,70.0,46.08,50.87,100.0,62.2,66.73,31.99,76.95,67.56,10.8,75.09,89.18,67.96,0.0,49.94,100.0,52.98,59.45,99.0,0.0,79.32,91.53,29.48,0.0,66.15,92.9,82.45,41.86,81.51,62.2,92.9,28.01,94.42,53.66,25.0,61.85,37.83,37.83,45.57,80.71,0.0,42.03,97.57,56.17,59.64,47.15,57.88,55.36,97.65,97.64,76.28,55.36,56.3,46.6,91.27,43.44,98.34,97.33,18.1
Chihuahua,Cuauhtémoc,73.29,22.54,99.03,58.43,57.35,47.03,46.24,58.44,95.0,46.08,45.99,85.06,61.96,58.43,20.11,45.69,81.48,13.97,73.39,82.32,72.23,0.0,46.2,100.0,42.41,59.45,100.0,0.0,66.1,69.77,27.49,0.0,62.0,86.35,87.61,32.99,79.18,61.96,86.35,,66.74,66.1,0.0,58.88,36.25,36.25,34.67,68.07,0.0,24.74,73.42,57.31,57.53,37.92,52.06,52.59,78.57,96.57,86.93,52.59,44.67,33.96,60.05,43.44,97.6,93.73,11.53
Chihuahua,Delicias,73.53,25.33,99.16,58.04,61.85,47.03,31.27,51.81,95.0,46.08,43.78,100.0,66.95,58.04,21.55,93.7,68.1,0.0,73.02,82.88,66.53,0.0,53.2,100.0,42.83,59.45,73.0,0.0,94.39,96.27,26.62,0.0,74.29,83.5,82.35,34.39,79.46,66.95,83.5,,49.69,94.39,0.0,56.12,48.6,48.6,34.82,69.36,0.0,20.82,97.19,52.75,56.28,32.24,60.09,61.59,95.1,96.39,76.78,61.59,60.72,54.6,2.19,43.44,97.12,96.6,12.13
Chihuahua,Hidalgo del Parral,81.3,44.28,98.66,62.35,58.06,23.04,40.0,53.2,0.0,46.08,38.88,100.0,55.57,62.35,26.59,77.21,65.97,10.12,65.8,73.79,52.12,0.0,46.4,100.0,47.36,67.84,93.68,0.0,82.03,92.4,32.51,0.0,72.01,70.26,80.72,49.19,80.87,55.57,70.26,,83.33,82.03,,51.12,57.53,57.53,28.92,50.5,0.0,16.2,98.56,48.85,38.81,53.19,55.15,55.94,100.0,97.08,65.43,55.94,42.47,39.6,68.1,54.1,98.24,95.48,13.43
Chihuahua,Juárez,89.08,25.33,95.86,64.23,62.48,48.69,44.53,54.0,0.0,46.08,56.49,96.84,50.58,64.23,28.52,58.23,65.49,1.72,71.67,88.0,64.3,0.0,47.66,100.0,51.82,59.45,90.0,0.0,85.95,82.01,24.82,0.0,57.32,87.7,79.65,34.39,67.46,50.58,87.7,18.44,88.89,52.2,100.0,61.67,29.94,29.94,42.97,79.71,0.0,41.87,98.49,70.0,59.6,45.86,56.78,53.34,90.95,96.28,68.99,53.34,54.1,41.33,79.3,43.44,45.46,93.8,14.55
Ciudad de México,Azcapotzalco,80.94,42.86,99.87,90.92,68.59,37.03,46.03,53.72,40.0,46.08,56.98,100.0,100.0,90.92,81.31,59.68,64.66,0.0,77.44,91.18,64.61,0.0,57.67,100.0,55.14,74.07,100.0,0.0,97.65,77.84,38.1,0.0,78.33,95.3,79.34,43.15,93.36,100.0,95.3,56.9,49.71,77.27,25.0,70.84,68.27,68.27,73.49,85.36,0.0,38.1,98.08,40.47,54.41,28.91,64.06,63.97,73.85,97.0,74.8,63.97,54.05,61.62,1.35,43.44,92.27,94.03,29.35
Ciudad de México,Benito Juárez,62.38,66.13,95.59,100.0,67.99,28.69,46.03,46.15,40.0,46.08,62.73,100.0,100.0,100.0,99.81,97.56,72.83,0.0,81.28,99.05,75.49,0.0,60.03,100.0,40.09,74.07,100.0,0.0,85.72,97.61,38.96,0.0,87.24,99.09,84.73,54.79,97.54,100.0,99.09,86.8,43.3,86.26,0.0,79.41,70.85,70.85,90.73,100.0,0.0,38.1,86.59,34.74,71.32,24.0,71.68,61.11,95.26,98.11,79.65,61.11,69.29,73.91,0.0,43.44,94.75,96.64,17.81
Ciudad de México,Coyoacán,96.33,51.19,99.77,77.9,81.76,37.03,46.03,44.18,40.0,46.08,44.09,100.0,90.32,77.9,84.44,65.15,66.03,0.0,76.28,96.46,66.35,0.0,53.07,100.0,98.16,74.07,100.0,0.0,97.94,83.36,38.71,0.0,75.67,97.52,78.26,47.31,95.14,90.32,97.52,26.51,53.61,62.23,25.0,62.78,70.1,70.1,47.5,95.5,0.0,38.1,93.77,40.67,57.64,30.21,67.36,65.06,84.94,97.42,75.05,65.06,60.65,61.96,13.44,43.44,96.35,90.49,100.0
Ciudad de México,Cuajimalpa de Morelos,64.94,42.71,94.53,97.77,77.56,45.36,46.03,39.11,40.0,46.08,75.73,67.16,46.58,97.77,78.37,29.47,77.3,0.0,72.89,98.18,74.42,0.0,51.06,100.0,82.47,74.07,100.0,0.0,73.69,45.09,37.15,0.0,53.0,94.24,73.36,43.08,88.53,46.58,94.24,9.76,46.64,41.73,50.0,82.64,65.41,65.41,87.5,100.0,0.0,38.1,93.28,63.97,66.94,30.67,64.26,65.35,38.63,96.35,81.89,65.35,54.45,63.01,0.0,43.44,81.22,69.41,100.0
Ciudad de México,Cuauhtémoc,53.15,42.46,93.79,100.0,62.77,32.86,46.03,47.13,40.0,46.08,71.22,100.0,100.0,100.0,100.0,84.36,72.81,0.0,75.26,97.45,74.41,0.0,53.47,100.0,36.01,74.07,100.0,0.0,81.57,93.01,36.82,0.0,84.72,88.02,84.27,42.95,96.83,100.0,88.02,100.0,41.37,90.79,12.5,81.88,64.42,64.42,99.67,97.86,0.0,38.1,81.57,42.77,71.22,24.74,61.67,55.95,94.67,97.05,77.6,55.95,49.28,59.82,1.18,43.44,93.53,95.74,18.86
Ciudad de México,Gustavo A. Madero,73.7,34.54,99.68,69.63,70.98,32.03,46.03,55.7,40.0,46.08,35.74,96.78,93.18,69.63,99.82,86.33,65.74,0.0,76.17,89.5,64.26,0.0,54.37,100.0,67.98,74.07,100.0,0.0,90.06,86.39,37.23,0.0,76.72,94.46,79.68,38.99,98.03,93.18,94.46,43.98,53.84,67.02,10.0,56.54,65.67,65.67,28.14,82.36,0.0,38.1,96.68,43.34,53.74,28.62,64.87,61.56,76.06,96.65,74.78,61.56,55.66,53.03,11.0,43.44,92.63,93.62,62.25
Ciudad de México,Iztacalco,74.53,39.13,96.99,75.75,66.1,37.03,46.03,55.31,40.0,46.08,39.65,79.26,75.52,75.75,100.0,98.44,68.09,0.0,78.72,89.85,67.02,0.0,55.92,100.0,46.96,74.07,100.0,0.0,82.3,86.81,37.7,0.0,71.1,98.28,81.95,41.29,96.93,75.52,98.28,27.57,54.4,54.93,25.0,60.8,67.08,67.08,38.17,82.86,0.0,38.1,97.75,41.12,57.62,30.48,65.09,62.48,82.74,96.84,76.41,62.48,56.12,56.54,11.06,43.44,90.75,95.82,19.4
Ciudad de México,Iztapalapa,41.26,28.73,99.44,72.6,61.62,32.03,46.03,56.79,40.0,46.08,44.97,72.74,58.36,72.6,100.0,98.18,68.42,0.0,70.23,84.42,66.59,0.0,52.75,100.0,34.47,74.07,100.0,0.0,94.87,85.75,36.38,0.0,67.23,91.93,66.02,36.08,97.44,58.36,91.93,22.13,72.98,58.5,10.0,61.39,63.12,63.12,31.94,72.71,0.0,38.1,97.72,58.0,57.09,35.0,64.49,63.11,86.33,96.12,76.08,63.11,54.9,48.71,48.24,43.44,90.34,63.61,27.69
Ciudad de México,La Magdalena Contreras,100.0,36.58,89.85,58.3,80.9,45.36,46.03,48.34,40.0,46.08,28.72,71.2,52.85,58.3,100.0,91.47,69.9,0.0,75.69,91.75,68.92,0.0,52.02,100.0,88.41,74.07,100.0,0.0,99.21,69.56,37.7,0.0,60.95,98.88,76.17,40.01,92.71,52.85,98.88,0.0,49.69,49.6,50.0,51.98,67.07,67.07,4.49,88.79,0.0,38.1,95.32,52.96,60.15,31.68,66.1,77.33,46.01,94.72,77.69,77.33,58.14,55.71,4.07,43.44,81.0,82.43,76.81
Ciudad de México,Miguel Hidalgo,93.51,52.66,99.83,100.0,78.69,62.03,46.03,44.95,40.0,46.08,69.57,80.59,100.0,100.0,68.6,48.44,73.29,0.0,79.39,96.35,75.35,0.0,56.43,100.0,96.75,74.07,100.0,0.0,100.0,62.03,37.99,0.0,76.71,96.6,85.15,48.05,90.94,100.0,96.6,65.08,47.55,82.54,100.0,81.64,67.94,67.94,100.0,95.07,0.0,38.1,84.0,39.14,69.47,36.52,62.06,59.6,57.06,97.62,81.24,59.6,50.05,67.92,11.09,43.44,95.31,97.01,100.0
Ciudad de México,Milpa Alta,100.0,16.81,96.21,57.21,64.73,45.36,46.03,58.03,40.0,46.08,32.86,92.75,57.68,57.21,94.23,51.2,74.14,0.0,70.42,33.32,69.15,0.0,52.53,100.0,100.0,74.07,100.0,0.0,73.85,58.01,36.4,0.0,54.85,97.19,61.55,30.13,91.49,57.68,97.19,0.0,48.15,36.92,50.0,53.07,63.17,63.17,2.82,66.64,0.0,38.1,86.18,62.9,56.58,31.17,61.15,64.45,30.08,0.0,81.72,64.45,48.24,47.03,10.13,43.44,75.52,48.95,100.0
Ciudad de México,Tlalpan,77.31,41.52,77.74,81.64,78.07,37.03,46.03,43.03,40.0,46.08,54.33,92.22,100.0,81.64,84.93,42.67,70.33,0.0,67.2,90.77,69.02,0.0,50.1,100.0,88.66,74.07,100.0,0.0,85.32,60.41,37.58,0.0,67.52,89.44,62.06,42.48,88.11,100.0,89.44,7.86,47.12,46.59,25.0,68.33,66.7,66.7,54.6,85.21,0.0,38.1,91.05,54.07,60.92,28.05,68.12,64.75,46.32,96.32,77.11,64.75,62.17,57.18,3.19,43.44,89.79,53.79,100.0
Ciudad de México,Tláhuac,70.53,27.94,97.58,60.89,67.4,37.03,46.03,60.33,40.0,46.08,40.71,100.0,51.27,60.89,78.71,86.29,70.67,0.0,73.08,84.01,67.79,0.0,53.94,100.0,58.95,74.07,100.0,0.0,99.68,81.74,36.05,0.0,63.92,89.01,76.28,35.69,90.96,51.27,89.01,20.17,57.01,59.93,25.0,56.46,62.12,62.12,15.88,71.5,0.0,38.1,98.37,65.55,55.8,31.35,63.72,62.94,58.94,96.52,79.78,62.94,53.38,47.55,15.65,43.44,87.53,81.89,47.36
Ciudad de México,Venustiano Carranza,69.67,37.31,89.19,77.68,63.81,37.03,46.03,52.89,40.0,46.08,43.77,100.0,76.59,77.68,83.2,72.03,66.71,0.0,77.4,88.46,67.38,0.0,54.14,100.0,46.81,74.07,100.0,0.0,84.51,86.09,37.22,0.0,73.7,97.37,80.68,40.37,89.72,76.59,97.37,66.96,47.62,75.73,25.0,62.94,65.63,65.63,47.32,79.5,0.0,38.1,95.25,40.22,59.15,28.22,64.17,55.77,86.24,97.43,75.61,55.77,54.28,55.39,0.0,43.44,86.51,94.65,23.96
Ciudad de México,Xochimilco,93.3,31.5,91.94,67.11,78.73,37.03,46.03,47.66,40.0,46.08,43.14,100.0,43.12,67.11,79.5,47.39,69.36,0.0,72.11,88.94,67.55,0.0,51.72,100.0,96.65,74.07,100.0,0.0,94.56,63.06,36.5,0.0,57.16,92.46,72.16,37.47,88.26,43.12,92.46,13.19,49.98,53.87,25.0,59.27,63.47,63.47,27.55,81.86,0.0,38.1,92.11,58.72,57.62,29.0,65.28,64.04,41.78,96.02,77.49,64.04,56.48,55.78,7.84,43.44,81.61,74.96,100.0
Ciudad de México,Álvaro Obregón,77.0,42.33,99.08,93.97,77.8,32.86,46.03,48.09,40.0,46.08,63.39,100.0,84.29,93.97,96.07,57.24,71.05,0.0,75.22,93.13,71.08,0.0,50.93,100.0,88.5,74.07,100.0,0.0,96.07,78.36,37.73,0.0,72.81,94.11,80.61,42.89,96.68,84.29,94.11,27.64,48.12,61.85,12.5,76.14,67.15,67.15,76.23,90.14,0.0,38.1,92.47,50.55,63.98,26.99,65.11,64.48,77.86,96.11,78.18,64.48,56.14,53.78,3.76,43.44,91.58,90.17,100.0
Coahuila de Zaragoza,Acuña,78.43,15.57,97.25,62.48,60.89,80.36,52.25,58.95,95.0,46.08,57.49,100.0,49.97,62.48,26.3,60.94,65.6,18.63,69.95,79.87,67.83,100.0,50.72,100.0,45.94,71.98,100.0,62.24,68.29,73.9,56.46,62.24,59.52,80.85,78.29,29.51,75.93,49.97,80.85,,81.02,68.29,100.0,62.6,54.89,54.89,41.09,63.57,100.0,38.13,97.63,73.9,63.22,87.13,63.21,54.52,60.76,96.17,72.44,54.52,54.44,42.48,64.42,43.44,80.15,90.98,13.45
Coahuila de Zaragoza,Matamoros,73.22,19.2,96.16,48.11,62.84,23.04,38.48,63.3,0.0,46.08,29.88,100.0,30.16,48.11,15.27,54.9,72.5,26.93,76.78,69.1,53.64,0.0,49.9,100.0,40.83,75.31,88.53,100.0,91.1,70.33,70.36,100.0,50.53,98.52,81.92,36.65,69.98,30.16,98.52,0.0,34.14,45.55,,43.88,72.6,72.6,5.32,42.93,0.0,0.0,67.91,54.43,36.28,28.59,83.4,58.05,56.1,95.27,70.99,58.05,91.49,36.5,0.37,54.1,68.49,91.33,8.44
Coahuila de Zaragoza,Monclova,67.89,45.85,97.32,74.55,65.33,65.36,35.92,56.55,100.0,46.08,55.73,93.3,49.72,74.55,23.58,44.0,78.88,7.56,75.07,77.52,60.58,0.0,54.42,100.0,50.79,75.31,73.49,0.0,94.68,67.69,32.46,0.0,68.46,83.55,87.26,49.97,80.22,49.72,83.55,,95.49,94.68,50.0,63.62,61.46,61.46,60.91,57.43,0.0,26.72,98.97,50.55,41.6,80.42,58.84,74.16,65.78,97.62,79.56,74.16,42.37,52.29,92.0,54.1,100.0,95.63,33.69
Coahuila de Zaragoza,Piedras Negras,49.53,26.7,97.56,63.36,60.74,47.03,37.0,58.11,95.0,46.08,52.95,95.08,59.29,63.36,25.59,50.01,67.66,16.01,77.41,84.85,65.94,0.0,54.5,100.0,35.25,71.98,89.0,0.0,97.01,67.59,25.96,0.0,66.65,96.44,81.28,35.07,74.28,59.29,96.44,,90.3,97.01,0.0,60.75,40.89,40.89,43.28,72.79,0.0,5.99,98.65,62.61,56.33,45.78,65.29,57.6,57.68,96.9,75.55,57.6,58.59,50.89,81.95,43.44,73.95,94.91,20.97
Coahuila de Zaragoza,Ramos Arizpe,15.39,19.84,97.86,76.85,55.42,55.54,41.48,47.05,65.0,46.08,79.95,78.79,41.49,76.85,9.41,19.6,69.36,14.1,71.04,84.28,69.02,0.0,45.52,100.0,19.98,71.98,70.0,0.0,87.52,51.41,32.77,0.0,49.02,83.57,84.01,31.64,76.78,41.49,83.57,0.0,94.05,43.76,,75.27,56.84,56.84,87.69,72.71,0.0,40.33,88.11,72.21,60.35,49.86,64.36,53.06,55.83,95.84,77.69,53.06,56.74,43.98,100.0,43.44,99.86,98.67,24.57
Coahuila de Zaragoza,Saltillo,45.81,27.87,94.84,68.94,63.65,15.36,41.34,48.24,0.0,46.08,55.77,89.44,56.9,68.94,34.05,32.01,61.0,0.0,73.62,89.09,62.9,0.0,47.91,100.0,36.46,71.98,97.0,0.0,91.6,58.58,29.55,0.0,55.74,94.6,78.33,35.65,81.74,56.9,94.6,0.0,70.76,45.8,0.0,62.54,47.32,47.32,48.48,81.36,0.0,27.01,95.64,63.05,53.83,28.71,65.4,63.65,54.29,96.82,71.96,63.65,58.82,47.58,45.89,43.44,98.09,95.67,27.11
Coahuila de Zaragoza,San Pedro,84.96,19.32,88.3,53.15,62.95,23.04,40.09,58.22,0.0,46.08,29.54,94.43,41.18,53.15,13.68,45.62,72.93,25.99,71.59,67.22,46.78,0.0,42.42,100.0,51.55,75.31,94.27,0.0,93.91,67.92,36.32,0.0,59.23,89.23,83.11,36.71,56.45,41.18,89.23,,55.42,93.91,,43.16,68.86,68.86,14.94,41.14,0.0,0.0,55.42,44.14,22.36,39.23,70.53,62.49,63.69,93.3,71.19,62.49,65.75,26.63,0.0,54.1,23.81,93.28,18.14
Coahuila de Zaragoza,Torreón,100.0,29.13,98.97,70.49,66.25,48.69,54.09,45.52,0.0,46.08,54.81,100.0,72.76,70.49,32.19,62.74,54.34,6.69,71.11,89.09,59.42,0.0,45.0,100.0,60.94,71.98,98.0,0.0,94.94,79.83,35.95,0.0,63.4,93.47,74.85,36.29,80.63,72.76,93.47,0.0,87.86,47.47,100.0,61.57,53.77,53.77,52.26,80.93,0.0,57.59,96.43,57.36,52.54,45.52,63.05,51.93,76.74,97.26,66.29,51.93,54.12,44.48,79.29,43.44,91.35,95.37,21.87
Colima,Colima,100.0,33.64,99.66,62.34,73.3,57.69,43.54,46.24,77.0,46.08,42.35,100.0,100.0,62.34,28.36,63.56,76.44,2.21,70.29,85.14,72.32,0.0,49.75,100.0,77.65,73.35,100.0,12.25,96.93,75.2,38.92,12.25,77.63,75.52,85.61,38.54,77.47,100.0,75.52,,98.49,96.93,50.0,59.0,60.98,60.98,38.47,74.64,0.0,28.41,98.67,46.22,62.73,52.06,66.48,63.91,62.05,95.63,81.91,63.91,59.62,53.25,98.31,43.44,81.86,94.77,55.31
Colima,Manzanillo,65.27,25.91,92.55,59.91,68.66,41.03,51.67,44.09,77.0,46.08,51.96,100.0,68.15,59.91,20.23,40.72,83.6,34.53,73.27,85.12,77.74,0.0,47.75,100.0,58.62,73.35,95.0,0.0,65.15,63.67,35.83,0.0,61.08,85.18,86.89,34.68,73.73,68.15,85.18,,73.4,65.15,0.0,63.2,55.81,55.81,39.18,76.07,0.0,25.46,94.21,64.74,68.85,38.14,70.3,60.61,50.3,94.18,86.62,60.61,67.25,51.41,52.59,43.44,82.15,90.18,51.97
Colima,Tecomán,100.0,12.71,97.0,57.52,63.82,41.03,45.93,58.09,77.0,46.08,38.59,100.0,63.45,57.52,41.58,63.34,93.49,33.47,70.66,69.69,81.04,0.0,51.04,100.0,68.98,73.35,94.0,0.0,97.81,75.41,34.05,0.0,65.94,73.33,87.62,28.08,64.95,63.45,73.33,,83.03,97.81,0.0,59.05,56.22,56.22,21.09,51.64,0.0,10.32,66.07,56.1,68.93,41.35,63.59,53.0,62.88,87.74,93.15,53.0,53.83,43.98,100.0,43.44,21.24,81.76,37.95
Colima,Villa de Álvarez,100.0,36.76,99.83,54.27,71.72,57.69,52.27,48.94,77.0,46.08,44.74,84.11,27.97,54.27,38.39,89.88,81.08,34.28,77.73,90.04,77.54,0.0,52.38,100.0,60.54,73.35,100.0,12.25,85.59,82.04,41.16,12.25,63.63,91.82,88.99,40.1,82.46,27.97,91.82,,99.73,85.59,50.0,58.85,58.96,58.96,18.01,82.86,0.0,22.55,99.46,71.47,72.48,52.47,70.52,65.77,72.14,97.23,82.6,65.77,67.7,55.81,100.0,43.44,91.61,96.9,21.08
Durango,Durango,40.2,25.99,99.0,49.44,60.2,67.0,57.19,49.68,67.43,46.08,36.83,81.25,77.75,49.44,24.04,88.21,69.28,45.14,71.75,87.71,64.62,0.0,44.74,100.0,28.93,70.61,86.0,0.0,88.9,84.14,33.84,0.0,64.19,89.69,80.83,34.72,79.9,77.75,89.69,0.0,97.06,44.45,87.5,50.3,44.33,44.33,15.79,78.36,0.0,40.44,95.14,57.88,52.25,54.69,62.23,61.95,82.98,97.07,76.99,61.95,53.84,39.8,98.97,43.44,96.57,92.38,17.66
Durango,Gómez Palacio,67.07,19.12,99.2,60.68,61.1,32.03,55.13,53.63,0.0,46.08,46.55,100.0,64.81,60.68,28.17,88.1,54.68,32.48,68.25,87.92,56.16,0.0,47.15,100.0,41.37,70.61,93.0,0.0,75.46,88.15,35.08,0.0,60.18,84.64,72.95,31.28,78.9,64.81,84.64,0.0,69.9,37.73,50.0,54.46,50.12,50.12,32.7,79.29,0.0,39.9,84.22,60.39,45.55,33.98,64.78,50.34,76.36,96.55,66.77,50.34,58.95,40.67,55.58,43.44,88.25,91.21,15.66
Durango,Lerdo,59.85,27.87,96.02,54.13,61.1,48.69,39.46,49.03,0.0,46.08,36.69,100.0,34.0,54.13,14.6,95.41,58.88,7.31,72.8,71.46,43.67,0.0,46.67,100.0,40.58,75.64,83.03,0.0,88.11,98.47,29.94,0.0,58.77,95.46,76.26,40.98,76.33,34.0,95.46,0.0,61.3,44.06,100.0,44.83,50.35,50.35,20.57,46.79,0.0,28.05,84.92,52.81,30.73,55.0,69.22,63.13,100.0,96.14,56.61,63.13,62.79,44.31,37.69,54.1,94.7,93.65,21.32
Estado de México,Acolman,64.3,23.47,69.18,56.38,66.39,52.03,35.44,60.49,60.0,46.08,40.39,100.0,36.21,56.38,38.32,61.03,77.24,15.17,69.82,72.78,53.58,0.0,43.84,100.0,51.95,73.27,91.14,87.92,100.0,69.82,59.74,87.92,53.76,91.44,74.19,38.78,73.99,36.21,91.44,0.0,50.97,50.0,50.0,50.12,55.87,55.87,13.94,48.93,0.0,0.0,97.17,66.85,41.3,51.5,75.44,65.39,48.43,96.63,65.85,65.39,77.61,27.2,4.77,54.1,88.46,71.13,39.59
Estado de México,Almoloya de Juárez,36.44,10.57,80.18,43.47,70.43,23.04,31.69,44.51,0.0,46.08,34.76,65.82,21.86,43.47,11.51,17.12,61.13,0.0,68.7,63.66,40.45,0.0,36.53,100.0,68.22,73.27,95.07,58.35,60.42,36.53,48.51,58.35,38.32,97.91,71.65,32.33,70.66,21.86,97.91,0.0,27.74,30.21,,39.56,55.48,55.48,0.0,37.0,0.0,0.0,54.23,69.52,31.41,25.39,75.71,74.12,26.64,90.33,49.48,74.12,78.16,28.55,1.25,54.1,90.95,82.17,100.0
Estado de México,Amecameca,63.44,23.82,96.12,40.36,71.44,23.04,29.06,62.02,0.0,46.08,27.15,61.86,53.28,40.36,17.97,30.12,60.69,0.0,70.78,72.92,47.43,0.0,43.39,100.0,81.72,73.27,87.17,0.0,0.0,41.99,30.0,0.0,41.13,95.34,73.62,38.96,71.44,53.28,95.34,,68.59,0.0,,38.31,60.95,60.95,3.15,49.71,0.0,0.0,95.13,51.14,35.74,45.82,65.98,65.15,33.99,96.13,59.13,65.15,58.68,24.76,42.06,54.1,71.68,86.55,100.0
Estado de México,Atenco,48.48,14.04,85.2,44.66,63.38,53.04,37.79,71.0,60.0,46.08,31.48,100.0,26.86,44.66,24.64,84.65,72.03,16.75,74.15,70.3,53.18,0.0,48.44,100.0,41.54,73.27,96.63,9.23,100.0,77.84,34.25,9.23,52.27,95.6,78.41,34.07,72.56,26.86,95.6,0.0,47.29,50.0,,43.11,55.74,55.74,0.0,44.29,0.0,0.0,93.83,62.96,39.52,50.16,82.02,59.67,48.87,96.31,66.83,59.67,90.76,25.87,0.74,54.1,80.38,84.79,34.6
Estado de México,Atizapán de Zaragoza,53.94,48.85,96.6,66.31,70.86,52.03,51.65,71.0,60.0,46.08,41.46,100.0,30.5,66.31,58.98,67.7,68.92,32.29,78.39,76.0,53.04,0.0,58.06,100.0,76.97,73.27,95.32,0.0,100.0,72.65,31.57,0.0,58.51,94.96,82.14,51.48,87.95,30.5,94.96,0.0,53.37,50.0,50.0,53.6,43.07,43.07,27.78,56.79,0.0,27.33,98.01,55.13,43.15,52.7,65.0,65.46,50.26,95.22,62.94,65.46,56.73,45.11,8.73,54.1,96.2,95.36,100.0
Estado de México,Atlacomulco,45.34,19.27,89.95,67.34,72.55,23.04,31.22,51.1,0.0,46.08,53.77,85.3,59.11,67.34,10.51,45.25,81.06,4.75,73.82,68.38,56.64,0.0,39.58,100.0,72.67,73.27,88.91,1.4,100.0,56.22,28.21,1.4,64.86,97.4,84.49,36.68,72.28,59.11,97.4,,69.12,100.0,,59.25,52.02,52.02,46.45,45.14,0.0,0.0,84.78,61.08,37.82,46.08,62.33,86.82,38.11,91.61,75.46,86.82,51.38,28.06,53.46,54.1,88.65,87.92,100.0
Estado de México,Chalco,87.16,14.94,85.92,57.56,63.69,37.03,40.74,62.54,40.0,46.08,45.02,100.0,52.57,57.56,67.9,83.86,68.67,25.61,69.76,76.79,65.02,0.0,51.29,100.0,56.46,70.86,96.6,0.0,94.67,78.72,28.39,0.0,57.46,94.23,63.76,29.19,79.47,52.57,94.23,0.0,44.92,47.34,25.0,55.87,44.42,44.42,12.64,59.36,0.0,0.0,89.56,77.4,52.58,27.31,62.87,58.63,52.31,94.22,77.46,58.63,54.89,40.04,0.27,43.44,64.06,58.84,25.75
Estado de México,Chiautla,52.94,28.52,91.38,37.9,73.21,53.04,17.79,62.07,60.0,46.08,26.83,78.15,27.91,37.9,12.17,29.34,74.61,15.43,75.21,72.96,53.39,0.0,48.15,100.0,76.47,73.27,37.94,100.0,100.0,47.28,61.75,100.0,48.04,94.88,82.61,41.31,73.72,27.91,94.88,0.0,46.13,50.0,,39.37,67.47,67.47,0.0,49.21,0.0,0.0,89.86,53.66,39.34,49.58,81.0,62.41,34.33,96.7,67.44,62.41,88.74,34.23,2.4,54.1,91.33,90.62,100.0
Estado de México,Chicoloapan,60.81,40.56,96.98,55.78,64.5,53.04,43.11,63.64,60.0,46.08,35.16,100.0,14.35,55.78,73.27,69.3,64.5,35.52,69.29,73.56,54.95,0.0,47.57,100.0,33.13,73.27,93.81,97.58,100.0,79.76,62.87,97.58,56.31,80.86,79.44,47.33,90.13,14.35,80.86,0.0,55.16,50.0,,48.63,47.91,47.91,1.09,50.07,0.0,0.0,99.05,69.23,46.24,54.1,86.64,64.66,69.99,97.06,63.65,64.66,100.0,31.49,11.28,54.1,90.26,94.38,5.45
